"Author","BHL CreatorID","VIAF ID","Associated Title","DOI"
"Withers, Thomas H","66385","69295150","The ""Cirripede"" Lepidocoleus in the upper Ordovician rocks of Scotland","10.1080/00222932208632722"
"Tweedie, James","60911","51566311","Extracts from a few rough notes of a journey across the Pampas of Buenos Ayres to Tucuman, in 1835","10.1080/00222933909512469"
"Alder, J","57479","","Notes on Sepia biserialis and Sepia elegans","10.1080/00222935708693969"
"Murray, Andrew","46492","100204832","List of Coleoptera received from Old Calabar, on the West Coast of Africa","10.1080/00222935708697716"
"Ponton, T Graham","68587","","Remarks on some species of Oliva recently described by Mr. Frederick P. Marrat","10.1080/00222936808695711"
"Plateau, Flix","66735","","On the production of the Sexes in bees","10.1080/00222936808695798"
"Wedl, C","68619","57386271","On capillary vascular systems in the Gasteropoda","10.1080/00222936808695863"
"Brongniart, Adolphe,","220","56679029","Note on a fossil Lycopodiacean fruit","10.1080/00222936908695879"
"Kny, L","67968","8134858","On the structure and development of the antheridium in ferns","10.1080/00222937008696148"
"Pouchet, M A","68349","","On the transformation of the nests of the House-Martin (Hirundo urbica, Linn.)","10.1080/00222937008696163"
"Bell, Alfred","68777","41928590","Contributions to the Crag-Fauna. Part II","10.1080/00222937108696390"
"Scudder, Samuel H.","19598","66581804","On some recent remarks by Mr. Meldola upon Iphiclides Ajax (Papilio Ajax auct.)","10.1080/00222937408680839"
"Harvie-Brown, J. A.","6435","47541747","I.—On the distribution of birds in North Russia.—II. Longitudinal distribution of species north of 64° 30′ N. lat., or the Northern Division","10.1080/00222937708682187"
"Batelli","68849","53149294368680522445","On the anatomy of the larva of Eristalis tenax","10.1080/00222937908682484"
"Norman, A M","66344","","On Loxosoma and Triticella, genera of semiparasitic Polyzoa in the British seas","10.1080/00222937908682490"
"Butler, Arthur G.","7538","67248222","Descriptions of new species of Asiatic Lepidoptera Heterocera","10.1080/00222938009458907"
"Nicholson, H Alleyne","66370","71474542","On some new or imperfectly-known species of corals from the Devonian rocks of France","10.1080/00222938109459466"
"Rietsch, M Max","68759","","Investigation of certain points in the anatomy of Sternaspis scutata. Second note","10.1080/00222938109459564"
"Moseley, Henry Nottidge","66155","66769287","The development of Limulus","10.1080/00222938209459069"
"Fritsch, Gustav","69999","","Report on a journey for the investigation of the Torpedinei extant in the museums of England and Holland","10.1080/00222938309459093"
"Delage, M Yves","66716","315539816","On the internal Sacculina, a new stage in the development of Sacculina Carcini","10.1080/00222938309459654"
"Olliff, A Sidney","67800","311180511","Description of an African species of the Coleopterous genus Helota, MacLeay","10.1080/00222938409459281"
"Moseley, Henry Nottidge","66155","66769287","On the presence of eyes and other sense-organs in the shells of the Chitonidae","10.1080/00222938409459782"
"Lichtenstein, M","66579","","Biological evolution of the aphides of the genus Aphis","10.1080/00222938509459314"
"Bruce, A T","66101","","Observations on the embryology of insects and Arachnids","10.1080/00222938609459936"
"Carter, H J","45562","","Descriptions of sponges from the neighbourhood of Port Phillip Heads, South Australia, continued","10.1080/00222938609460122"
"Guerne, Jules de,","2342","19983062","Monographic Note on the Rotifera of the family Asplanchnid⏟_","10.1080/00222938809460872"
"Pocock, R. I.","2905","3910384","Contributions to our knowledge of the Crustacea of Dominica","10.1080/00222938909460288"
"Fritze, Adolf","69103","316526108","On seasonal dimorphism in Japanese Butterflies","10.1080/00222939009460809"
"Butler, Arthur G.","7538","67248222","On the noctuid genera allied to Hypætra of Guenée","10.1080/00222939208677412"
"Rothschild, Lionel Walter Rothschild,","1349","10627546","Notes on Apteryx Haastii","10.1080/00222939308677462"
"Léger, M Louis","68259","","The development of the intestinal Gregarines of marine worms","10.1080/00222939308677535"
"Butler, Arthur G.","7538","67248222","Bibliographical notice","10.1080/00222939308677549"
"Child, C M","45326","66568639","Contributions to the knowledge of the antennary sense-organs of insects","10.1080/00222939408677717"
"Masterman, Arthur T","68289","216759384","On the nutritive and excretory processes in Porifera","10.1080/00222939408677739"
"Waterhouse, Charles O","54067","50614579","Descriptions of new Coleoptera in the British Museum","10.1080/00222939508680245"
"Rainbow, W J","46551","94932197","Descriptions of some new Araneidæ of New South Wales","10.1080/00222939508680284"
"Butler, Arthur G.","7538","67248222","Notes on the pierine butterflies of the genus Daptonura, with descriptions of new species","10.1080/00222939608680378"
"Fulton, Hugh","66203","108113684","Descriptions of new species of Nanina, Helix, Amphidromus, and Porphyrobaphe","10.1080/00222939608680416"
"Butler, Arthur G.","7538","67248222","A revision of the pierine butterflies of the genus Terias from the Old World","10.1080/00222939808677923"
"Morrison, W","68435","","Notes on the physical aspects and on the food-fishes of the Liao basin, North China","10.1080/00222939808677969"
"Thomas, Oldfield,","40091","54263584","Descriptions of new mammals from South America","10.1080/00222939808678042"
"Melvill, James Cosmo","66181","81088535","Notes on the Mollusca of the Arabian Sea, Persian Gulf, and Gulf of Oman, mostly dredged by Mr. F. W. Townsend, with descriptions of twenty-seven species","10.1080/00222939908678167"
"Burr, Malcolm","47669","50943796","Notes on the Forficularia","10.1080/00222939908678196"
"Marloth, R ","185651","56380793","SOME NEW SOUTH AFRICAN SUCCULENTS. Part III","10.1080/00359191009519359"
"Nevill, E ","185722","","ON THE EARLY BABYLONIAN ECLIPSE OF THE SUN","10.1080/00359191009519382"
"Sutton, J R ","185650","","A NOTE ON THE EARTHQUAKES OF THE SOUTH AFRICAN TABLE-LAND","10.1080/00359191309519691"
"Brown, Alexander","185749","","THE EQUIVALENT MASS OF A SPRING VIBRATING LONGITUDINALLY","10.1080/00359191509519727"
"Moir, James","185710","69303079","COLOUR AND CHEMICAL CONSTITUTION","10.1080/00359191909520000"
"Sutton, J R ","185650","","A POSSIBLE LUNAR INFLUENCE UPON THE VELOCITY OF THE WIND AT KIMBERLEY","10.1080/00359192109520205"
"Pijper, C ","185764","24198542","A PREHISTORIC ROCK-SCULPTURE FROM THE NORTH-EASTERN TRANSVAAL","10.1080/00359192109520210"
"Chatin, M Ad ","165606","","De L'Existence De Rapports Entre La Nature De L'piderme Et Celle Du Parenchyme Des Feuilles","10.1080/00378941.1857.10826197"
"Gay, M J ","165718","314920086","L' Agaye Americana Considr Dans Ses Moyens De Reproduction Par Bourgeons Souterrains","10.1080/00378941.1857.10829000"
"Decaisne, M","58012","","Note Sur La Strilit Habituelle De Quelques Espԣes","10.1080/00378941.1858.10829247"
"Lon, M Isidore","165753","","Recherches Nouvelles Sur La Cause Du Mouvement Spiral Des Tiges Volubiles","10.1080/00378941.1858.10829289"
"Duchartre, M P","68353","","Note Sur Le Lilas Blanchi Par La Culture Force","10.1080/00378941.1860.10826232"
"De Maisonneuve, M Durieu","165780","","Nouvelles Observations Sur Les Bulbilles Des Characes","10.1080/00378941.1860.10829512"
"Heissner, H ","166203","","Note Sur Les Lauraces","10.1080/00378941.1864.10827336"
"Cauvet, M D ","165593","","De L'excrétion Des Matières Non Assimilables Par Les Végétaux (Réponse A Une Communication De M. Chatin)","10.1080/00378941.1864.10827345"
"Fournier, M Eug ","165587","","Sur L'tymologie Et Les Origines Du Genre Hesperis","10.1080/00378941.1866.10825111"
"Roze, M E ","165900","","De La Fcondation Chez Les Slaginelles, Suivie De Quelques Considrations Sur Les Lycopodiaces","10.1080/00378941.1867.10825143"
"Lombard, M Armand","165881","","Note Sur Les Feuilles Normales Du Lathyrus Aphaca L","10.1080/00378941.1869.10825231"
"Cauvet, M ","165613","88864477","Observations, Relatives A Quelques-Uns Des Travaux Prsents A La Socit Par M. Germain De Saint-Pierre","10.1080/00378941.1871.10825305"
"Pihier, M ","166170","191948053","Cellules Spirales Dans Les Racines Du Nuphar Advenum","10.1080/00378941.1878.10827879"
"Duchartre, M P","68353","","Observations Sur Les Fleurs Doubles Des Bgonias Tubreux","10.1080/00378941.1880.10825864"
"Prillieux, M Éd","165611","","Altrations Produites Dans Les Plantes Par La Culture Dans Un Sol Surchauff","10.1080/00378941.1881.10827953"
"Mer, M E ","165614","","De L'Influence De L'Ombre Et De La Lumière Sur La Structure, L'Orientation Et La Végétation Des Aiguilles D' Abies Excelsa","10.1080/00378941.1883.10828156"
"Gandoger, M Michel","165538","","Excursion Botanique A La Dole (Jura Suisse), Le 30 Mai 1885","10.1080/00378941.1885.10828348"
"Bocquillon, M H ","166074","","Note Sur Le Gonolobus Condurango","10.1080/00378941.1891.10830512"
"Legu, M L ","165672","","Sur Un Hybride Probable Des Stachys Germanica L. Et Alpina L","10.1080/00378941.1893.10828798"
"Gandoger, M Michel","165538","","Herborisations Dans Le Massif Du Pic Carlitte (Pyrnes-Orientales)","10.1080/00378941.1894.10831625"
"Legr, M Ludovic","165683","","Additions A La Flore De La Provence","10.1080/00378941.1897.10830740"
"Gneau de Lamarliere, L.","165684","","Contributions A La Flore De La Marne","10.1080/00378941.1899.10831741"
"De Boissieu, M H ","165540","","Liste De-Localités Et Espèces Nouvelles Pour La Flore Du Japon, D'après Les Collect, Parisiennes De M. L'abbé Faurie","10.1080/00378941.1900.10828927"
"Henriques, M A ","166369","99924119","Avena Hackelii sp. nov","10.1080/00378941.1905.10829185"
"Heckel, M Édouard","165682","","Sur l' Ambrosia artemisiæfolia L. et sa naturalisation en France","10.1080/00378941.1906.10831212"
"Capitaine, M ","166422","","Une Violette virescente","10.1080/00378941.1908.10831990"
"Jeanpert, M Ed ","165572","","Notes sur la flore parisienne","10.1080/00378941.1909.10831404"
"Hamet, M Raymond","165542","","Sur quelques Kalanchoe peu connus","10.1080/00378941.1910.10832158"
"Sudre, M H ","165539","","Notes batologiques Note II","10.1080/00378941.1911.10832312"
"Becquerel, M Paul","166463","","A propos de la nouvelle espèce de Bourse-à-pasteur, le Capsella Viguieri Blaringhem","10.1080/00378941.1911.10832334"
"Moreau, Fernand","166495","73929255","La signification de la couronne des Narcisses, d'après un Narcissus pseudo-Narcissus tératologique","10.1080/00378941.1913.10836647"
"Buchet, M S ","166471","","A propos du Myrica Gale L. et de son dmembrement par M. Gandoger","10.1080/00378941.1920.10836176"
"Pellegrin, M F ","166470","119307264","Le Kvasingo ou bois de rose du Gabon","10.1080/00378941.1922.10833507"
"Mereschkowsky, C","68332","79009378","On Stauronella, a new Genus of Diatoms","10.1080/03745480109443340"
"M'coy, Frederick","49154","33518030","On some new cretaceous Crustacea","10.1080/037454809494314"
"Warington, Robert","50970","49584889","Memoranda of observations made in small aquaria, in which the balance between the animal and vegetable organisms was permanently maintained","10.1080/037454809494350"
"Blackwall, John.","40950","2837970","On the means by which various animals walk on the vertical surfaces of highly polished bodies","10.1080/037454809495268"
"Duchartre, M","56567","44418573","Anatomical and organogenical researches on Lathræa clandestina","10.1080/037454809495359"
"Mohl, Hugo V","52727","10614024","On the power of the living plant to restrain the evaporation of the cell-sap","10.1080/037454809496008"
"Taylor, Thomas","52747","","Diagnostic characters of five new species of cryptogamic plants from Jamaica","10.1080/037454809496074"
"Waterhouse, G. R.","11852","72174649","On the names Promecoderus, Cnemacanthus and Odontoscelis, as applied to certain genera of Carabideous Insects","10.1080/03745484109442754"
"Brightwell, T","50143","","On Hirudo geometra, Linn., and some other species of British Freshwater Leeches","10.1080/03745484209442949"
"Hinds, Richard Brinsley","50153","51836055","Descriptions of new Shells from the Collection of Captain Sir Edward Belcher, R.N., C.B","10.1080/03745484309445298"
"Moggridge, Matthew","56869","","On the habits of the wigeon","10.1080/03745485609496518"
"Gray, John Edward,","1829","32135239","Figured pearls of the Chinese","10.1080/03745485709496330"
"Hancock, Albany","49132","52468708","On the boring of the mollusca into rocks, &c.; and on the removal of portions of their shells","10.1080/03745485809494702"
"Greville, R K","52783","27211580","Algæ orientales:—Descriptions of new species belonging to the genus Sargassum","10.1080/03745485909494757"
"Garber, A P ","212181","","The April Flora of Cedar Keys, Fla","10.1086/325062"
"Howell, Thomas","212227","56766544","Scales of Thuja gigantea 3-Ovuled","10.1086/325516"
"Morgan, A P ","212184","310520919","A New Polyporus","10.1086/325634"
"Ridgway, Robert,","1444","20058990","Native Trees of the Lower Wabash in Illinois and Indiana","10.1086/325651"
"L. H. Bailey","212209","71646721","Limits of Michigan Plants","10.1086/325654"
"Earle, F S ","212244","80488899","Notes on the North American Forms of Podosphæra","10.1086/325756"
"Holzinger, John M ","212310","7038632","On Amarantus crassipes","10.1086/326830"
"Hicks, G H ","212380","","Color Bodies in Seeds and Seedlings","10.1086/327104"
"Kelsey, F D ","212309","48827494","Note on Aster","10.1086/327281"
"Schaffner, John H ","212384","2153272","The Embryo-Sac of Alisma Plantago","10.1086/327313"
"Coulter, John M ","204655","40162762","Contribution to the Life-History of Ranunculus","10.1086/327639"
"Fairchild, David G ","212465","20430545","Notes of Travel. I","10.1086/327881"
"Hume, H Harold","212472","93209994","Some Peculiarities in Puccinia teleutospores","10.1086/327933"
"Wiegand , Karl M","83903","49066752","The Development of the Embryo-Sac in Some Monocotyledonous Plants","10.1086/328010"
"Parish, S. B.","150765","310634950","New or Unreported Plants from Southern California","10.1086/328575"
"Hasselbring, H ","212480","296401309","Sexuality of the Uredineae","10.1086/329185"
"Cook, Mel T ","212556","48586311","Cecidology","10.1086/331378"
"Cowles, H C ","212576","168528075","Sand Hill Forestation","10.1086/331491"
"Bartlett, Harley Harris","133680","69028509","Mass Mutation in Oenothera pratincola","10.1086/331687"
"Pfeiffer, Norma Etta.","1894","311391054","The Sporangia of Thismia americana","10.1086/332348"
"Hayata, Bunzo","212881","256933024","Protomarattia, A New Genus of Marattiaceae, and Archangiopteris","10.1086/332399"
"Sinnott, E W ","212710","34832741","Size Variation in Secondary Xylem","10.1086/332484"
"Sears, Paul Bigelow","212766","110012107","Variations in Cytology and Gross Morphology of Taraxacum. II. Senescence, Rejuvenescence, and Leaf Variation in Taraxacum","10.1086/333034"
"Felt, E P","44743","113219523","Summary of Food Habits of American Gall Midges","10.1093/aesa/4.1.55"
"Guilding, Lansdown","55547","53904924","The Natural History of Xylocopa Teredo and Horia maculata","10.1111/j.1095-8339.1823.tb00089.x"
"Candolle, Alphonse de,","91","9858639","A Review of the Natural Order Myrsineæ","10.1111/j.1095-8339.1834.tb00019.x"
"Salisbwy, Richard Anthony","45056","","On the Germination of the Seeds of Orchidece","10.1111/j.1096-3642.1804.tb00277.x"
"Holme, John","54874","","XXII. Observations on Arragonite, together with its Analysis","10.1111/j.1096-3642.1813.tb00056.x"
"Newport, George","46622","310508983","On the Anatomy and Affinities of Pteronarcys regalis, Newm.: with a Postscript, containing Descriptions of some American Perlid⏟_, together with Notes on their Habits","10.1111/j.1096-3642.1846.tb00435.x"
"Curtis, John,","7043","","On the Genus Myrmica, and other indigenous Ants","10.1111/j.1096-3642.1852.tb00456.x"
"Harting, J E","73151","","On the Eggs of some little-known Limicola","10.1111/j.1096-3642.1874.tb02505.x"
"Hamilton, E","73237","","January 5, 1875","10.1111/j.1096-3642.1875.tb02532.x"
"Garrod, A H","69963","76155824","3. On the Chinese Deer named Lophotragus michianus by Mr. Swinhoe","10.1111/j.1096-3642.1876.tb02612.x"
"Salvin, Osbert","47461","66614898","5. On some Birds transmitted from the Samoan Islands by the Rev. T. Powell","10.1111/j.1096-3642.1879.tb02634.x"
"Dendy., Arthur","73087","33518665","PORIFERA","10.1111/j.1096-3642.1887.tb03007.x"
"Flower, William Henry,","1212","29669657","November 15, 1887","10.1111/j.1096-3642.1887.tb03022.x"
"North, Alfred J","46552","70509037","5. On the Habits of a Cuckoo in the Gilbert Islands","10.1111/j.1096-3642.1896.tb03089.x"
"Pocock, R. I.","2905","3910384","Description of a new Form of Ratel (Mellivora) from Sierra Leone, with Notes upon the described African Forms of this Genus","10.1111/j.1096-3642.1909.tb01876.x"
"Enderlein, G_nther,","7057","","No. IV.-EMBIIDINA UND NEUROPTERA (CONIOPTERYGIDAE UND HEMEROBIIDAE)","10.1111/j.1096-3642.1910.tb00523.x"
"Mörch, J. A.","72830","","On the Natural History of Whalebone Whales","10.1111/j.1096-3642.1911.tb01952.x"
"Cotterell, G S","72751","","34. The Life-History and Habits of the Yellow Dung-Fly (Scatophaga stercoraria); a possible Blow-Fly Check","10.1111/j.1096-3642.1920.tb03245.x"
"Lucas, N S","72681","","Report on the Deaths which occurred in the Society's Gardens during 1922","10.1111/j.1096-3642.1923.tb02176.x"
"Shann, E W","72682","","The Embryonic Development of the Porbeagle Shark, Lamna cornubica","10.1111/j.1096-3642.1923.tb02180.x"
"Parry, Frederick","55735","92346090","VIII. Description of a new Genus of Lucanidæfrom New Zealand","10.1111/j.1365-2311.1845.tb01332.x"
"Westwood, J. O.","1847","64107143","XXIII. Descriptions of some Species of exotic Heteropterous Hemiptera","10.1111/j.1365-2311.1845.tb01347.x"
"Smith, F","51570","","VIII. Descriptions of some new and apparently undescribed Species of Hymenopterous Insects from North China, collected by Robert Fortune, Esq","10.1111/j.1365-2311.1852.tb02208.x"
"Elwes, H J","49915","","XI On the Genus Colias","10.1111/j.1365-2311.1880.tb02026.x"
"Lewis, George","54222","","XIX. On a visit to Ceylon, and the relation of Ceylonese beetles to the vegetation there","10.1111/j.1365-2311.1882.tb01584.x"
"Butler, Arthur G.","7538","67248222","III. Heterocerous Lepidoptera collected in Chili by Thomas Edmonds, Esq","10.1111/j.1365-2311.1883.tb02939.x"
"Elisha, George","54068","","XIX. The life-history of Geometra smaragdaria","10.1111/j.1365-2311.1886.tb01637.x"
"Baly, Joseph S","47237","27857210","IX. Notes on Aulacophora and allied genera","10.1111/j.1365-2311.1889.tb02322.x"
"Distant, William Lucas,","2471","2251471","XVIII. Contributions to a Knowledge of the Rhynchota","10.1111/j.1365-2311.1901.tb01374.x"
"Distant, William Lucas,","2471","2251471","Contributions to a knowledge of the Rhynchota","10.1111/j.1365-2311.1901.tb01374.x"
"Kirby, William F","55347","61946710","V. Report on a Collection of African Locustidæformed by Mr. W. L. Distant, chiefly from the Transvaal","10.1111/j.1365-2311.1902.tb01014.x"
"Turner, Rowland E","52958","284341565","Notes on the Thynnidæ, with remarks on some aberrant genera of the Scoliidæ","10.1111/j.1365-2311.1908.tb02139.x"
"Aurivillius, Per Olof Christopher,","7548","116237088","IX. New Genera and Species of Striphnopterygidae and Lasiocampidae in the British Museum","10.1111/j.1365-2311.1911.tb03081.x"
"Howlett, F M","52953","65582926","VII. The effect of Oil of Citronella on two species of Dacus","10.1111/j.1365-2311.1912.tb03101.x"
"Rothschild, Lionel Walter Rothschild,","1349","10627546","On the naming of Local Races, Subspecies, Aberrations, Seasonal Forms, etc","10.1111/j.1365-2311.1918.tb02588.x"
"Solly, R H","56187","309589","November 27, 1849","10.1111/j.1469-7998.1849.tb00196.x"
"Sclater, Philip Lutley,","11086","44414898","1. Characters of Nine New Species of Birds Received in collections from Bogota","10.1111/j.1469-7998.1862.tb06466.x"
"Day, Surgeon Francis","73301","","On the Fishes of Orissa","10.1111/j.1469-7998.1869.tb07340.x"
"Watson, M","68340","","On the Male Generative Organs of Chlamydophorus trun-catus and Dasypus sexcinctus","10.1111/j.1469-7998.1878.tb08003.x"
"Mivart, St. George Jackson,","1563","65506201","March 2, 1886","10.1111/j.1469-7998.1886.tb00544.x"
"Thomas, Oldfield,","40091","54263584","The Mammals of the Solomon Islands, based on the Collections made by Mr. C. M. Woodford during his Second Expedition to the Archipelago","10.1111/j.1469-7998.1888.tb06724.x"
"Pease, Alferd E","72948","","Supplemental Note on the Distribution of Loder's Gazelle and the Dorcas Gazelle in Algeria","10.1111/j.1469-7998.1899.tb06877.x"
"Woodward, Dr Henry","72950","","June 6, 1899","10.1111/j.1469-7998.1899.tb06883.x"
"Thompson, D'Arcy Wentworth,","5635","95300577","On the Pterylosis of the Giant Humming-bird (Patagona gigas)","10.1111/j.1469-7998.1901.tb08548.x"
"Schwann, Harold","66785","","A List of the Mammals obtained by Messrs. R. B. Woosnam and R. E. Dent in Bechuanaland","10.1111/j.1469-7998.1906.tb08421.x"
"Lydekker, Richard,","2307","46874978","The Malay Race of the Indian Elephant Elephas maximus hirsutus*","10.1111/j.1469-7998.1914.tb07036.x"
"Nicholls, Geo E","72775","66673128","44. Some Notes upon the Anatomy of Rana tigrina","10.1111/j.1469-7998.1915.00603.x"
"Buckland, W","84228","68995683","XXI.--Notice on the Megalosaurus or great Fossil Lizard of Stonesfield","10.1144/transgslb.1.2.390"
"Chambers, Vactor Tousey","189024","295220465","Further Notes on Some Tineid Larvae","10.1155/1880/18501"
"Beutenmüller, William","41323","22885993","Descriptions of the Larva and Pupa of Scotobates Calcaratus Fabr","10.1155/1891/85831"
"Townsend, C H Tyler","48290","248358499","Introduction to Brauer and von Bergenstamm's Vorarbeiten zu einer Monographie der Muscaria Schizometopa.","10.1155/1892/57638"
"Ashmead, William H","47413","5308099","The Habits of the Aculeate Hymenoptera.","10.1155/1894/78253"
"Soule, Caroline G ","189067","","Description of Some of the Larval Stages of Amphion Nessus","10.1155/1895/84518"
"Scudder, Samuel H.","19598","66581804","Notes on Ephyra Pendulinaria","10.1155/1897/53565"
"Needham, James G","46806","45821353","A Simplified Spreading Board","10.1155/1902/16395"
"Packard , Alpheus S","82636","135145067416266631073","Appearance of the 17-Year Cicada in Rhode Island in 1903","10.1155/1903/26381"
"Reiff, Willliam","189374","","Some Experiments on Flacherie in the Gypsy Moth","10.1155/1909/45068"
"Johnson, C W","46798","","The importance of local ecological studies in entomology","10.1155/1909/47384"
"Thompson, W R","62099","316957077","Synonymical and Other Notes on Diptera","10.1155/1910/16852"
"Turner, C H ","189225","34532440","Sphex Overcoming Obstacles","10.1155/1912/95842"
"Bergroth, E","44667","62589120","Four New American Hemiptera","10.1155/1914/39507"
"Bowditch, F C","47828","","Notes on Aulacophora Olivier and Oides Weber","10.1155/1914/45426"
"Weiss, Harry B","51646","62963980","Monaithropalpus Buxi Lab. in New Jersey (DIp.)","10.1155/1916/39270"
"Morse, Albert P","54307","12682545","Book Reviews","10.1155/1920/96971"
"Hull, F M","44823","289656788","Some Mimetic Flies, With the Description of Two New Species From North America (Syrphidæ; Diptera)","10.1155/1935/72376"
"Brues, Charles T.","2004","38304378","An American Species of Solenopsia","10.1155/1936/52949"
"Gurne, Ashley B ","189061","","Notes on Dilaridæ and Berothidae, With Special Reference to the Immature Stages of the Nearctic Genera (Neuroptera)","10.1155/1947/78317"
"Brown, W L","44135","","Synonymous Ant Names","10.1155/1951/56531"
"Darlington, P J","51558","46837193","Notes on Brachyonychus Chd. (Coleoptera, Carabidae, Panagaeini)","10.1155/1952/34949"
"Nutting, W L ","189238","","Distribution and Biology of the Primitive Dry-Wood Termite Pterotermes Occidentis (Walker) (Kalotermitidae)","10.1155/1966/20139"
"Carpenter, F M","58278","93123527","Studies on North American Carboniferous Insects. 5. Palaeodictyoptera and Megasecoptera From Illinois and Tennessee, With a Discussion of the Order Sypharopteroidea","10.1155/1967/58796"
"Burns, John M","62414","49273456","Duration of Copulation in Poanes Hobomok (Lepidoptera: Hesperiidae) and Some Broader Speculations","10.1155/1970/40876"
"Poinar, George","62326","2560925","BOOK REVIEW","10.1636/0161-8202(2005)033[0878:br]2.0.co;2"
"Ortega-Escobar, Joaqu_n","216670","","ROLE OF THE ANTERIOR LATERAL EYES OF THE WOLF SPIDER LYCOSA TARENTULA (ARANEAE, LYCOSIDAE) DURING PATH INTEGRATION","10.1636/s04-103.1"
"Merriam, C Hart","61119","24717997","Criteria for the Recognition of Species and Genera","10.2307/1373714"
"Howell, Arthur H","83159","45145857783123020653","Notes on the Fox Squirrels of Southeastern United States, with Description of a New Form from Florida","10.2307/1373719"
"Grave, B H","52507","97164633","SOME OBSERVATIONS ON THE HABITS OF PECTEN DISLOCATUS","10.2307/1535894"
"Woodruff, Lorande Loss","52243","397817","EFFECTS OF ALCOHOL ON THE LIFE CYCLE OF INFUSORIA","10.2307/1536092"
"Loeb, Jacques","53811","7475699","THE BLINDNESS OF THE CAVE FAUNA AND THE ARTIFICIAL PRODUCTION OF BLIND FISH EMBRYOS BY HETEROGENEOUS HYBRIDIZATION. AND BY LOW TEMPERATURES","10.2307/1536260"
"Harvey, E Newton","50780","63013491","OXYGEN AND LUMINESCENCE, WITH A DESCRIPTION OF METHODS FOR REMOVING OXYGEN FROM CELLS AND FLUIDS","10.2307/1536540"
"Page, Irvine H","56708","108757351","THE OILS OF THE SEA URCHIN AND STAR FISH EGG","10.2307/1536971"
"Mcconnell, Carl H","55582","","EXPERIMENTAL OBSERVATIONS UPON THE ENDODERMAL GLANDS OF PELMATOHYDRA OLIGACTIS","10.2307/1537073"
